"FILARE","PIANTA","X","Y","Area","Perimetro","Roughness","MISSING","LAT","LON","dist_bound","L_moran_30","L_moran_50","L_moran_30_p","L_moran_50_r","Underperc","L_moran_5","L_moran_100","Line_res","candidate","pred_mglm","pred_rdtree"
1,1,1429,3082,365,24.728,0.53433,0,43.07632811,10.6953131,0,0.227888834977057,0.103571247774164,1.70269704323665,-0.328275085349721,0,0.206728394602096,0.177269094017581,-9.39035281164195,0,0,0
1,2,1418,3061,340,80.184,0.66453,0,43.07633508,10.69530944,0,0.247057425985392,0.157593526162347,0.425224076112316,-0.0698835788120743,0,0.371564788872764,0.265321254382447,33.9008451286407,0,0,0
1,3,1407,3040,388,81.497,0.7341,0,43.07634205,10.69530579,0,0.148776714849601,0.124502385331812,0.35064439693339,0.0355862535832021,0,0.428059263933211,0.167582932244435,2.78690021249287,0,0,0
1,4,1397,3019,439,82.669,0.80721,0,43.07634902,10.69530246,2.20887248004692e-07,0.0724401172746753,0.0502877870836617,0.35406479051835,0.103042501615897,0,0.176262484073522,0.0566399010420487,-32.6433772924838,0,0,0
1,5,1386,2998,469,88.326,0.75545,0,43.07635598,10.6952988,1.43634945001975e-07,-0.00548802713583189,-0.00481604490218635,0.0907153708734812,0.0682888200107621,0,-0.0127122865377584,-0.00560512859745912,-48.361396639238,0,0,0
1,6,1375,2977,439,87.154,0.72627,0,43.07636295,10.69529515,7.9845917851659e-08,0.046017458372141,0.0435086402541226,0.140128254388021,0.0194254886570312,0,0.109538597956011,0.0547449426763114,-5.44194222649935,0,0,0
1,7,1364,2956,407,81.841,0.7636,0,43.07636992,10.69529149,7.16076128882909e-09,0.0994922679083642,0.100304840648935,0.320083269762515,0.0533825372639337,0,0.169721769057717,0.119922668242721,38.0487334946622,0,0,0
1,8,1354,2935,423,84.669,0.74148,0,43.07637688,10.69528817,2.32376997091569e-07,0.105101426755004,0.0826196101775769,0.268431530803692,0.0389546989299871,0,0.137440220701178,0.0741889289610417,32.0443780731767,0,0,0
1,9,1343,2914,459,85.255,0.79357,0,43.07638385,10.69528451,1.59691840528739e-07,0.0191623549237825,0.0122187568098448,0.154613836294329,0.118436690214553,0,0.00982066127594393,0.0131836709891658,4.56785140278521,0,0,0
1,10,1332,2893,395,89.841,0.61498,0,43.07639082,10.69528086,9.59028166235738e-08,0.170597705237197,0.128300318193793,0.0191230106329612,-0.286494360128494,0,0.00727116120821054,0.135698871042969,75.6600765885864,0,0,0
1,11,1321,2872,538,94.811,0.7521,0,43.07639779,10.6952772,2.32176584804766e-08,-0.218938019955489,-0.144416095918953,-0.158800819089996,0.170194396738402,0,0.00954901128860934,-0.131269303659677,-61.718104003452,0,0,0
1,12,1311,2851,499,93.154,0.72261,0,43.07640475,10.69527388,2.48433895863484e-07,-0.103584413299521,-0.0647075938606131,-0.0941941645177905,0.0569319356209215,0,0.0293927098775911,-0.0504256582659675,-18.6058480073626,0,0,0
1,13,1300,2830,508,92.083,0.75286,0,43.07641172,10.69527022,1.75748737720382e-07,-0.12290621855977,-0.0727483443399076,-0.0573349898849939,0.161605027438067,0,0.100472242484641,-0.0666933970441983,-24.4288884218569,0,0,0
1,14,1289,2809,477,91.154,0.7214,0,43.07641869,10.69526656,1.03063577912403e-07,-0.0298375799803365,-0.0196065782824618,-0.0244799259690917,0.0353644477867411,0,0.0267280544069518,-0.0156645508425526,8.79060276460763,0,0,0
1,15,1278,2788,442,90.912,0.67204,0,43.07642566,10.69526291,3.92745540072374e-08,0.0529041319378674,0.0397147626522323,-0.0133119751403875,-0.120128061837533,0,-0.0616517945706199,0.0314258853160618,44.1188094333795,0,0,0
1,16,1268,2767,498,92.083,0.73804,0,43.07643262,10.69525958,2.55594657152313e-07,-0.0499131100976637,-0.0542691411377282,-0.0340220622374002,0.0912348462746176,0,0.045919572783757,-0.0291286191350698,-16.8846501066372,0,0,0
1,17,1257,2746,511,91.497,0.76703,0,43.07643959,10.69525593,1.91805633247148e-07,-0.0615744649557968,-0.0681521143016477,-0.0206431969610913,0.151988305579782,0,-0.00456817062508771,-0.0231171417803877,-39.9549133906288,0,0,0
1,18,1246,2725,467,90.326,0.71929,0,43.07644656,10.69525227,1.19120475104046e-07,-0.000728649206394885,-0.000551348107911614,0.00133747286180398,0.03358593952602,0,0.00160152305160453,-0.000194022011387368,-6.46793030338279,0,0,0
1,19,1235,2704,442,89.154,0.69879,0,43.07645353,10.69524861,4.64353185412228e-08,0.0251953729344323,0.00370920952434009,0.0162722779783739,-0.0268317254734272,0,-0.0412264807909449,0.00463547375388349,12.2003492703133,0,0,0
1,20,1225,2683,480,90.569,0.73535,0,43.07646049,10.69524529,2.7165155592423e-07,-0.0174446614458048,-0.0016198811743647,-0.00248613290642405,0.0714160974335855,0,0.013153508244288,0.00187127563168554,-30.2315862756857,0,0,0
1,21,1214,2662,508,93.497,0.73025,0,43.07646746,10.69524163,1.98966397781128e-07,-0.0425827060108335,0.0130846247573768,-0.0429937007097819,0.0594585915621959,0,-0.230095150416245,0.0242535478095973,-64.2809700485205,0,0,0
1,22,1203,2641,452,89.154,0.7146,0,43.07647443,10.69523798,1.35177370630816e-07,-0.000499870776163328,-0.0136436591714457,0.00756260168001927,0.0171316770672631,0,0.0628470499399532,-0.0199643981768203,-13.177334184473,0,0,0
1,23,1192,2620,336,79.255,0.6722,0,43.0764814,10.69523432,6.24922140679836e-08,-0.162797497434681,-0.169432787408434,-0.0558425694024781,-0.0882162906303637,0,0.444586738624304,-0.314771158179692,101.849789180175,1,0,0
1,24,1182,2599,340,76.426,0.73148,1,43.07648836,10.695231,2.87708449870721e-07,-0.258392994213011,-0.210239153202266,-0.209185012707389,0.0551631065599285,0,0.440827162929315,-0.368182102613365,103.126719044309,1,0,0
1,25,1171,2578,404,82.669,0.74286,0,43.07649533,10.69522734,2.15023293307898e-07,-0.161139414618352,-0.100362581989407,-0.146309379872665,0.0963345165382534,0,0.331986324371016,-0.196589179201924,48.6378941100867,0,0,0
1,26,1160,2557,453,89.154,0.71618,0,43.0765023,10.69522368,1.42338135164787e-07,-0.0382604251059303,-0.0202880297814788,-0.0254755454324894,0.0279310924325155,0,0.0296333685884605,-0.0434973285558607,9.64096179614131,0,0,0
1,27,1149,2536,478,88.912,0.75984,0,43.07650926,10.69522003,7.39819664000095e-08,0.0324764525898063,0.0180612049809144,-0.031130614309752,0.163152447080975,0,0.0285212834270043,0.0423336557363235,-8.60643047889573,0,0,0
1,28,1138,2515,470,94.912,0.65564,0,43.07651623,10.69521637,1.29680983718646e-09,0.0117304353246658,0.00751078163266002,0.0992684993578941,-0.199999804519256,0,0.0256854854928175,0.0147165951363732,7.09031878702399,0,0,0
1,29,1128,2494,525,97.983,0.68718,0,43.0765232,10.69521305,2.3108018725439e-07,0.198174662461177,0.155421411744928,0.173649850240599,-0.0761778271631456,0,0.338254882491975,0.239411976549696,-37.0971986098806,0,0,0
1,30,1117,2473,603,104.81,0.68978,0,43.07653017,10.69520939,1.58395030691548e-07,0.390233545768891,0.400863113111267,0.297321012299543,-0.0722988029438409,1,0.629175500734077,0.599698549280428,-107.945849809721,0,0,0
1,31,1106,2452,621,105.05,0.70709,0,43.07653713,10.69520573,8.11427276888385e-08,0.472930804228965,0.477580523497406,0.331898566236729,-0.0044200882816539,1,0.657403362161672,0.676810886064729,-122.253918939255,0,0,0
1,32,1095,2431,510,93.74,0.72934,0,43.0765441,10.69520208,1.73537037836777e-08,0.155443713927467,0.142496591662904,0.0925882085801416,0.0682814547449002,0,0.186739737944459,0.198186365906839,-7.41249101338104,0,0,0
